headline,url,publisher,date,stock,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
"Amazon Curtails Some Service, Highways Closed, As Protests Impact Freight And Driver Safety",https://www.benzinga.com/news/20/06/16150798/amazon-curtails-some-service-highways-closed-as-protests-impact-freight-and-driver-safety,FreightWaves,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
How Social Media Stocks Fared During The Pandemic,https://www.benzinga.com/opinion/20/06/16150869/how-social-media-stocks-fared-during-the-pandemic,IAM Newswire,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
"Gun, Security Stocks Trade Higher After Weekend Protests Turn Violent And Destructive",https://www.benzinga.com/news/20/06/16150247/gun-security-stocks-trade-higher-after-weekend-protests-turn-violent-and-destructive,Wayne Duggan,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
10 Biggest Price Target Changes For Monday,https://www.benzinga.com/analyst-ratings/price-target/20/06/16148982/10-biggest-price-target-changes-for-monday,Lisa Levin,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
"Amazon Files for Mixed Shelf Offering, Size Not Disclosed",https://www.benzinga.com/news/20/06/16148971/amazon-files-for-mixed-shelf-offering-size-not-disclosed,Luke J Jacobi,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
"Morgan Stanley Maintains Overweight on Amazon.com, Raises Price Target to $2800",https://www.benzinga.com/news/20/06/16148792/morgan-stanley-maintains-overweight-on-amazon-com-raises-price-target-to-2800,Rich Worthington,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
The 'Real' S&P 500 And Why The Current Rally Makes Sense,https://www.benzinga.com/opinion/20/06/16147738/the-real-s-p-500-why-the-current-rally-makes-sense,Eric Mancini,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
"UK Supply Chain Startup Beacon Raises $15M From Amazon CEO, Others",https://www.benzinga.com/news/20/06/16146470/uk-supply-chain-startup-beacon-raises-15m-from-amazon-ceo-others,Neer Varshney,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
"Apple CEO Writes To Employees About George Floyd Death, Urges For 'Better, More Just World For Everyone'",https://www.benzinga.com/news/20/06/16146417/apple-ceo-writes-to-employees-about-george-floyd-death-urges-for-better-more-just-world-for-everyone,Shivdeep Dhaliwal,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
FedEx named as suitor for German parcel company,https://www.benzinga.com/news/20/05/16141726/fedex-named-as-suitor-for-german-parcel-company,FreightWaves,2020-05-29,AMZN,2020-05-29,120.7969970703125,122.11849975585938,119.91000366210938,122.11849975585938,122.11849975585938,70198000,0.0,0.0
